,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
31,sequence_51141,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
32,sequence_51137,0,2,2,0,0,2,2,0,4,1,0,3,1,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0
33,sequence_32151,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
34,sequence_32148,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
35,sequence_32117,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
36,sequence_32141,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
37,sequence_32124,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
38,sequence_32126,0,0,3,3,3,3,7,7,7,7,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,13
39,sequence_32127,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
40,sequence_32133,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
41,sequence_32131,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,19,19,19,19,19,19,19,19,19,19
42,sequence_32174,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
43,sequence_32114,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
44,sequence_32147,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
45,sequence_32119,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
46,sequence_32122,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
47,sequence_32125,0,0,3,3,3,3,7,7,7,7,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,13
48,sequence_32128,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
49,sequence_32129,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
50,sequence_32132,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,19,19,19,19,19,19,19,19,19,19
51,sequence_32167,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
52,sequence_50970,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
53,sequence_51045,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
54,sequence_51003,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
55,sequence_51032,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
56,sequence_51028,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,25,25,25,25
57,sequence_51025,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
58,sequence_51019,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
59,sequence_51017,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,21,21,21,21,21,21,21,21
60,sequence_51014,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,27,27
61,sequence_50984,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
62,sequence_51054,1,1,0,2,2,0,4,4,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
63,sequence_51002,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
64,sequence_51033,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
65,sequence_51027,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,25,25,25,25
66,sequence_51023,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
67,sequence_51012,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
68,sequence_51018,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,21,21,21,21,21,21,21,21
69,sequence_51015,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
70,sequence_50973,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
71,sequence_32112,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
72,sequence_50978,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
73,sequence_32162,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
74,sequence_50995,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,20,20,20,20,20,20,9,9,9
75,sequence_50972,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,20,20,20,20,20,20,9,9,9
76,sequence_32115,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
77,sequence_50979,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
78,sequence_32152,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,22,22,22,22,22,22,22
79,sequence_32113,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,23,23,23,23,23,23
80,sequence_32182,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,5,5,5,5,5,5,5
81,sequence_50987,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,20,20,20,20,20,20,9,9,9
82,sequence_51052,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,20,20,20,20,20,20,9,9,9
83,sequence_50988,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
84,sequence_32158,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,5,5,5,5,5,5,5
85,sequence_32180,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,5,5,5,5,5,5,5
86,sequence_51046,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,20,20,20,20,20,20,9,9,9
87,sequence_32181,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,5,5,5,5,5,5,5
88,sequence_32163,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
89,sequence_50980,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,26,26,26
90,sequence_50969,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
91,sequence_50996,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
92,sequence_50989,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,14,14
93,sequence_32150,0,0,3,3,3,3,7,7,7,7,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,13
94,sequence_51053,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,20,20,20,20,20,20,9,9,9
95,sequence_50966,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,21,21,21,21,21,21,21,21
96,sequence_32116,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,23,23,23,23,23,23
97,sequence_32159,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,5,5,5,5,5,5,5
98,sequence_32149,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,22,22,22,22,22,22,22
99,sequence_51133,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,24,24,24,24,24
100,sequence_51189,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,15,15,15,15,15,15,15,15,15,15,15
101,sequence_51167,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
102,sequence_51130,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
103,sequence_51186,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
104,sequence_51178,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
105,sequence_51158,0,2,2,0,0,2,2,0,4,1,0,3,1,0,15,15,15,7,7,7,7,7,7,7,7,7,7,7
106,sequence_51165,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
107,sequence_51176,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
108,sequence_51155,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
109,sequence_51162,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
110,sequence_51172,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
111,sequence_51195,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,18,18,18,18,18,18,18,18,18,18,18
112,sequence_51152,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
113,sequence_51177,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
114,sequence_51161,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
115,sequence_51166,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
116,sequence_51156,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
117,sequence_51180,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,6
118,sequence_51164,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
119,sequence_51194,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,18,18,18,18,18,18,18,18,18,18,18
120,sequence_51154,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
121,sequence_51188,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,15,15,15,15,15,15,15,15,15,15,15
122,sequence_51179,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,9,9,4,4,4
123,sequence_51127,0,2,2,0,0,2,2,0,4,1,0,3,1,0,15,15,15,7,7,7,7,7,7,7,7,7,7,7
124,sequence_51198,0,2,2,0,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,4,1,1,0,9,9,4,4,4
125,sequence_51160,0,2,2,0,0,2,2,0,4,1,0,3,1,0,15,15,15,7,7,7,7,7,7,7,7,7,7,7
126,sequence_51184,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
127,sequence_51129,0,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,0,2
128,sequence_51185,0,2,2,0,0,2,2,0,4,1,0,3,1,0,15,15,15,7,7,7,7,7,7,7,7,7,7,7
129,sequence_51128,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
130,sequence_51134,0,2,2,0,0,2,2,0,4,1,0,3,1,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0
131,sequence_51135,0,2,2,0,0,2,2,0,4,1,0,3,1,0,6,6,6,6,6,6,6,6,6,6,6,6,2,0
132,sequence_51190,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,15,15,15,15,15,15,15,15,15,15,15
133,sequence_32134,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
134,sequence_32160,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
135,sequence_32110,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
136,sequence_32120,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
137,sequence_32142,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,19,19,19,19,19,19,19,19,19,19
138,sequence_32137,0,0,3,3,3,3,7,7,7,7,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,13
139,sequence_32123,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
140,sequence_32143,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
141,sequence_32139,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
142,sequence_32135,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
143,sequence_32176,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
144,sequence_32109,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
145,sequence_32121,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
146,sequence_32140,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,19,19,19,19,19,19,19,19,19,19
147,sequence_32136,0,0,3,3,3,3,7,7,7,7,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,6,13
148,sequence_50974,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16
149,sequence_32118,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
150,sequence_32146,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
151,sequence_32138,0,0,3,3,3,3,7,7,7,7,3,1,0,4,4,1,1,0,8,8,8,8,8,8,3,3,3,3
152,sequence_50962,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,26,26,26
153,sequence_51050,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
154,sequence_51029,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
155,sequence_51008,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,27,27
156,sequence_51011,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
157,sequence_32164,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
158,sequence_51035,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,25,25,25,25
159,sequence_51005,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
160,sequence_51010,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
161,sequence_51013,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
162,sequence_50991,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
163,sequence_51043,1,1,0,2,2,0,4,4,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
164,sequence_51009,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
165,sequence_51031,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
166,sequence_51020,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
167,sequence_51034,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,25,25,25,25
168,sequence_51007,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,25,25,25,25
169,sequence_51026,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
170,sequence_32169,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17
171,sequence_51000,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
172,sequence_32171,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17
173,sequence_32170,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17
174,sequence_32166,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17
175,sequence_32179,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
176,sequence_50997,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
177,sequence_50998,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
178,sequence_50999,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
179,sequence_50961,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,26,26,26
180,sequence_32175,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
181,sequence_32178,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,9,4,4,1,1,1
182,sequence_51041,1,1,0,2,2,0,4,4,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
183,sequence_50965,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,26,26,26
184,sequence_51048,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,25,25,25,25
185,sequence_50992,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
186,sequence_32165,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,23,23,23,23,23,23
187,sequence_51040,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10
188,sequence_32177,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,2,2,2,2,2,0,23,23,23,23,23,23
189,sequence_50963,1,1,0,1,1,1,0,2,2,2,2,2,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16
190,sequence_51001,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
191,sequence_50990,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
192,sequence_32168,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17
193,sequence_32172,0,0,1,4,4,4,1,1,0,4,4,4,4,1,1,0,17,17,17,17,17,17,17,17,17,17,17,17
194,sequence_32111,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,5,5,5,5,5,5,5
195,sequence_51051,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,25,25,25,25
196,sequence_50975,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,26,26,26
197,sequence_32155,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,22,22,22,22,22,22,22
198,sequence_32156,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,22,22,22,22,22,22,22
199,sequence_50993,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
200,sequence_32157,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,22,22,22,22,22,22,22
201,sequence_51193,0,2,2,0,0,6,6,6,6,6,6,6,6,6,2,2,0,18,18,18,18,18,18,18,18,18,18,18
202,sequence_51038,1,1,0,2,2,0,4,4,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
203,sequence_50994,1,1,0,1,1,1,0,8,8,8,8,8,3,3,3,3,3,1,0,9,9,9,4,1,0,20,20,20
204,sequence_32154,0,0,1,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,22,22,22,22,22,22,22
205,sequence_51030,1,1,0,2,2,0,4,4,1,0,7,7,7,7,7,7,7,3,1,0,4,4,1,0,8,8,8,8
206,sequence_51021,1,1,0,2,2,0,3,3,3,3,1,0,8,8,8,8,8,8,3,3,3,3,3,3,1,0,27,27
207,sequence_51150,0,2,2,0,0,2,2,0,4,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
